                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0061,                 1.0578,                 1.2382,                0.68362,                 0.6752,                0.67996,                0.53431,                 1.3039,                 1.3914,                 1.4559,               0.000439,               0.000439,               0.000439
                     36,                 1.0118,                  1.038,                 1.2411,                0.71029,                0.63969,                0.67573,                0.53352,                 1.2945,                 1.3715,                 1.4494,              0.0004225,              0.0004225,              0.0004225
                     37,                 1.0144,                 1.0558,                 1.2408,                0.71067,                0.66916,                0.69912,                0.54906,                 1.2838,                 1.3563,                 1.4388,               0.000406,               0.000406,               0.000406
                     38,                0.99118,                 1.0178,                 1.2329,                 0.7219,                0.65587,                0.69091,                0.54552,                 1.2684,                 1.3258,                   1.42,              0.0003895,              0.0003895,              0.0003895
                     39,                0.99136,                 1.0147,                 1.2221,                0.70106,                0.68205,                0.69566,                0.54577,                 1.2736,                 1.3222,                 1.4334,               0.000373,               0.000373,               0.000373
                     40,                 0.9841,                 1.0018,                 1.2176,                0.70213,                0.67451,                0.70009,                0.54627,                 1.2762,                 1.3545,                 1.4276,              0.0003565,              0.0003565,              0.0003565
                     41,                0.96828,                0.96931,                 1.2028,                0.73093,                0.65375,                0.69941,                0.55326,                 1.2567,                 1.3237,                 1.4098,                0.00034,                0.00034,                0.00034
                     42,                0.97017,                0.96463,                  1.206,                0.68005,                0.67824,                0.69076,                0.55215,                 1.2331,                 1.3356,                 1.3981,              0.0003235,              0.0003235,              0.0003235
                     43,                0.95341,                0.94632,                 1.2013,                0.69111,                0.68369,                0.69228,                0.54945,                 1.2613,                 1.3369,                 1.4071,               0.000307,               0.000307,               0.000307
                     44,                 0.9621,                  0.942,                 1.1979,                0.69045,                0.68504,                0.69826,                0.55172,                 1.2723,                 1.3194,                 1.4437,              0.0002905,              0.0002905,              0.0002905
                     45,                0.94305,                0.92668,                 1.1912,                0.71494,                0.67821,                0.70394,                0.55857,                 1.2747,                 1.3043,                 1.4324,               0.000274,               0.000274,               0.000274
                     46,                0.94724,                0.92899,                 1.1899,                0.74947,                0.66144,                0.70634,                0.56097,                 1.2473,                  1.306,                 1.4147,              0.0002575,              0.0002575,              0.0002575
                     47,                0.92743,                0.90604,                 1.1832,                0.70271,                0.69044,                0.71002,                0.56143,                 1.2365,                 1.2975,                 1.4068,               0.000241,               0.000241,               0.000241
                     48,                0.91944,                 0.8971,                 1.1771,                0.71123,                0.67955,                0.69821,                0.55303,                 1.2584,                 1.3477,                 1.4261,              0.0002245,              0.0002245,              0.0002245
                     49,                0.93743,                0.89148,                 1.1781,                0.74833,                0.67104,                0.71132,                0.55901,                 1.2607,                 1.3239,                  1.425,               0.000208,               0.000208,               0.000208
