                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0504,                 1.1418,                 1.2827,                0.71872,                0.65039,                0.68217,                0.53252,                 1.3067,                 1.3751,                 1.4421,             0.00059163,             0.00059163,             0.00059163
                     35,                 1.0338,                 1.1113,                 1.2746,                 0.6878,                0.65776,                0.68623,                0.53867,                 1.2558,                 1.3609,                 1.4201,             0.00057925,             0.00057925,             0.00057925
                     36,                 1.0359,                 1.0996,                  1.281,                0.67169,                0.67336,                0.68889,                0.54078,                 1.2803,                 1.3622,                 1.4541,             0.00056687,             0.00056687,             0.00056687
                     37,                 1.0355,                 1.0911,                 1.2746,                0.69683,                0.66037,                 0.6947,                 0.5421,                 1.2754,                  1.367,                 1.4412,              0.0005545,              0.0005545,              0.0005545
                     38,                 1.0121,                 1.0648,                 1.2637,                0.72828,                0.65057,                0.69912,                0.55318,                 1.2408,                 1.3151,                 1.4108,             0.00054212,             0.00054212,             0.00054212
                     39,                 1.0063,                 1.0459,                 1.2513,                0.68654,                0.67163,                0.68657,                0.53953,                 1.2811,                  1.399,                 1.4446,             0.00052975,             0.00052975,             0.00052975
                     40,                 1.0019,                 1.0376,                 1.2474,                0.72341,                0.66141,                0.70393,                0.55953,                 1.2233,                 1.3234,                   1.39,             0.00051737,             0.00051737,             0.00051737
                     41,                0.97737,                 1.0042,                 1.2284,                0.72321,                0.66676,                0.70112,                 0.5521,                 1.2352,                 1.3175,                 1.4131,               0.000505,               0.000505,               0.000505
                     42,                0.99633,                0.99633,                  1.238,                0.71855,                0.66962,                 0.7011,                0.55662,                 1.2395,                  1.318,                 1.4194,             0.00049263,             0.00049263,             0.00049263
                     43,                 0.9748,                0.99502,                 1.2325,                0.74599,                 0.6476,                0.69071,                0.54872,                 1.2636,                 1.3712,                 1.4262,             0.00048025,             0.00048025,             0.00048025
                     44,                0.97968,                0.97555,                 1.2285,                0.77005,                0.65492,                0.70646,                0.56399,                 1.2431,                 1.2979,                  1.425,             0.00046788,             0.00046788,             0.00046788
                     45,                0.95554,                0.95995,                 1.2168,                 0.7128,                0.69512,                0.71068,                0.55989,                 1.2684,                 1.2866,                 1.4385,              0.0004555,              0.0004555,              0.0004555
                     46,                0.95759,                0.94469,                  1.215,                0.70597,                0.67797,                0.70479,                0.55908,                 1.2615,                 1.2981,                 1.4271,             0.00044312,             0.00044312,             0.00044312
                     47,                0.94463,                0.92358,                 1.2119,                0.70427,                 0.6633,                0.68873,                0.55188,                 1.2555,                 1.3408,                 1.4204,             0.00043075,             0.00043075,             0.00043075
                     48,                0.94095,                0.93497,                 1.2072,                 0.7082,                0.69201,                0.70135,                0.55943,                 1.2481,                 1.3036,                 1.4257,             0.00041838,             0.00041838,             0.00041838
                     49,                0.94851,                0.91137,                 1.1955,                0.71974,                0.69255,                 0.7152,                0.56402,                 1.2522,                 1.3007,                 1.4358,               0.000406,               0.000406,               0.000406
                     50,                0.91299,                0.90022,                 1.1883,                0.75193,                0.65636,                0.70837,                0.55632,                 1.2516,                 1.2983,                 1.4235,             0.00039362,             0.00039362,             0.00039362
                     51,                0.91865,                0.88467,                 1.1902,                0.70724,                0.68249,                 0.6964,                0.54811,                 1.2825,                  1.297,                 1.4435,             0.00038125,             0.00038125,             0.00038125
                     52,                0.89689,                0.86516,                 1.1752,                0.75172,                0.68196,                 0.7196,                0.56954,                 1.2287,                 1.2638,                 1.4107,             0.00036888,             0.00036888,             0.00036888
                     53,                0.91012,                0.86145,                 1.1854,                0.75099,                0.68029,                0.71703,                0.57031,                  1.245,                 1.2755,                 1.4176,              0.0003565,              0.0003565,              0.0003565
                     54,                0.89422,                0.84897,                 1.1733,                0.78381,                0.65463,                0.71032,                0.56568,                 1.2524,                 1.2958,                 1.4311,             0.00034413,             0.00034413,             0.00034413
                     55,                0.88916,                0.82903,                 1.1599,                0.75059,                0.68234,                   0.72,                0.56904,                 1.2586,                  1.265,                 1.4269,             0.00033175,             0.00033175,             0.00033175
                     56,                0.89982,                0.85194,                 1.1711,                0.75915,                0.67615,                0.71788,                0.56607,                 1.2501,                 1.2722,                 1.4142,             0.00031938,             0.00031938,             0.00031938
                     57,                0.88623,                0.81663,                 1.1621,                0.76119,                0.68033,                 0.7333,                0.57766,                  1.245,                 1.2491,                 1.4258,               0.000307,               0.000307,               0.000307
                     58,                0.86811,                0.81519,                 1.1481,                0.74537,                0.70046,                0.72511,                0.57117,                 1.2422,                 1.2669,                 1.4188,             0.00029462,             0.00029462,             0.00029462
                     59,                0.84461,                0.77992,                  1.138,                0.71559,                0.72277,                0.73117,                0.58147,                 1.2374,                 1.2385,                 1.4164,             0.00028225,             0.00028225,             0.00028225
                     60,                 0.8568,                0.78028,                 1.1448,                0.72377,                0.70994,                0.72447,                0.57838,                 1.2436,                 1.2442,                 1.4272,             0.00026987,             0.00026987,             0.00026987
                     61,                0.85013,                0.76703,                 1.1423,                0.75795,                0.70129,                0.72416,                0.57657,                 1.2352,                 1.2547,                 1.4225,              0.0002575,              0.0002575,              0.0002575
                     62,                0.85138,                0.76438,                  1.136,                0.73773,                0.70114,                0.72764,                0.57879,                 1.2533,                 1.2512,                 1.4379,             0.00024513,             0.00024513,             0.00024513
                     63,                0.84011,                0.74599,                  1.126,                0.80089,                0.67134,                0.72786,                 0.5798,                 1.2344,                 1.2461,                 1.4183,             0.00023275,             0.00023275,             0.00023275
                     64,                0.83247,                0.73612,                 1.1282,                0.75565,                 0.6898,                0.72495,                0.57813,                  1.233,                 1.2577,                  1.419,             0.00022038,             0.00022038,             0.00022038
                     65,                0.83291,                 0.7232,                 1.1214,                0.74518,                0.67611,                0.71788,                0.57154,                 1.2221,                 1.2491,                 1.4015,               0.000208,               0.000208,               0.000208
                     66,                 0.8128,                0.71989,                 1.1138,                0.76181,                0.68595,                0.72645,                  0.582,                 1.2178,                  1.238,                 1.4141,             0.00019562,             0.00019562,             0.00019562
                     67,                0.80781,                0.69834,                 1.1115,                0.74049,                0.71691,                0.72773,                0.57983,                 1.2262,                  1.256,                 1.4245,             0.00018325,             0.00018325,             0.00018325
                     68,                0.80336,                0.69996,                 1.1088,                 0.7752,                0.69021,                0.73301,                 0.5881,                 1.2219,                  1.242,                 1.4175,             0.00017087,             0.00017087,             0.00017087
                     69,                0.79625,                0.67363,                    1.1,                0.73049,                0.71833,                0.72902,                0.58381,                 1.2334,                 1.2412,                 1.4342,              0.0001585,              0.0001585,              0.0001585
                     70,                0.79104,                0.66888,                 1.0996,                0.76248,                 0.7097,                0.73924,                0.58949,                 1.2402,                 1.2276,                 1.4222,             0.00014612,             0.00014612,             0.00014612
                     71,                0.76106,                0.59037,                  1.056,                0.73183,                0.69798,                0.72155,                0.57149,                 1.2522,                 1.2576,                 1.4494,             0.00013375,             0.00013375,             0.00013375
                     72,                0.73194,                0.53318,                 1.0422,                0.75455,                0.71046,                0.73039,                0.57729,                 1.2511,                 1.2461,                 1.4505,             0.00012138,             0.00012138,             0.00012138
                     73,                0.71581,                0.51351,                 1.0306,                0.74962,                0.71546,                0.73215,                0.58339,                 1.2469,                 1.2558,                 1.4531,               0.000109,               0.000109,               0.000109
                     74,                0.70615,                 0.5005,                 1.0277,                0.73958,                0.70497,                0.73032,                0.58188,                 1.2458,                 1.2723,                 1.4607,             9.6625e-05,             9.6625e-05,             9.6625e-05
                     75,                0.69902,                 0.4961,                 1.0195,                0.73159,                0.70095,                0.72751,                0.58094,                 1.2592,                 1.2732,                 1.4782,              8.425e-05,              8.425e-05,              8.425e-05
                     76,                 0.6891,                0.47429,                  1.011,                0.75676,                0.69984,                0.73346,                0.58411,                  1.255,                 1.2808,                 1.4691,             7.1875e-05,             7.1875e-05,             7.1875e-05
                     77,                0.68047,                0.46542,                 1.0083,                0.75704,                0.69531,                0.73112,                0.58429,                 1.2561,                 1.2928,                 1.4728,               5.95e-05,               5.95e-05,               5.95e-05
                     78,                0.67045,                0.45695,                0.99914,                0.75095,                0.70013,                0.73187,                0.58568,                 1.2481,                 1.2787,                 1.4687,             4.7125e-05,             4.7125e-05,             4.7125e-05
                     79,                0.66859,                0.44781,                 1.0009,                0.75443,                0.70046,                0.73466,                0.58359,                 1.2629,                 1.2719,                 1.4849,              3.475e-05,              3.475e-05,              3.475e-05
                     80,                 0.6586,                0.44658,                0.99709,                0.77934,                0.68221,                0.73425,                0.58467,                   1.26,                 1.2963,                 1.4822,             2.2375e-05,             2.2375e-05,             2.2375e-05
