                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0868,                 1.3144,                  1.452,                0.73157,                0.62611,                0.68859,                0.51401,                 1.3254,                 1.4631,                 1.6607,               0.000439,               0.000439,               0.000439
                     36,                  1.095,                 1.2999,                 1.4572,                0.65791,                0.66775,                 0.6807,                0.51795,                 1.3253,                 1.4841,                  1.671,              0.0004225,              0.0004225,              0.0004225
                     37,                 1.0809,                 1.3042,                 1.4492,                0.70819,                0.66236,                0.69801,                0.52156,                 1.3279,                 1.4624,                 1.6597,               0.000406,               0.000406,               0.000406
                     38,                 1.0673,                   1.25,                 1.4262,                0.74063,                0.64145,                0.69018,                0.52119,                 1.3332,                 1.4839,                 1.6765,              0.0003895,              0.0003895,              0.0003895
                     39,                 1.0703,                 1.2667,                 1.4321,                0.67709,                0.68497,                 0.6954,                 0.5252,                 1.3083,                 1.4459,                 1.6507,               0.000373,               0.000373,               0.000373
                     40,                  1.061,                 1.2345,                   1.42,                0.70522,                 0.6765,                0.70248,                0.53018,                 1.3062,                 1.4025,                 1.6433,              0.0003565,              0.0003565,              0.0003565
                     41,                  1.035,                  1.202,                 1.4039,                0.67662,                0.68091,                0.69677,                0.52615,                 1.3138,                 1.4399,                 1.6545,                0.00034,                0.00034,                0.00034
                     42,                 1.0262,                  1.195,                 1.3966,                0.69692,                0.68236,                0.70134,                0.52808,                 1.3313,                 1.4429,                 1.6564,              0.0003235,              0.0003235,              0.0003235
                     43,                 1.0256,                 1.1691,                 1.3978,                0.72798,                0.66625,                0.70536,                0.53421,                 1.3092,                   1.42,                 1.6511,               0.000307,               0.000307,               0.000307
                     44,                 1.0167,                 1.1764,                 1.3899,                0.68983,                0.68475,                0.70314,                0.53422,                 1.3051,                 1.3846,                 1.6458,              0.0002905,              0.0002905,              0.0002905
                     45,                 1.0053,                 1.1491,                 1.3744,                0.72963,                0.67639,                0.71494,                0.53922,                 1.3128,                 1.3956,                 1.6496,               0.000274,               0.000274,               0.000274
                     46,                 1.0013,                 1.1259,                   1.38,                 0.6814,                0.68289,                0.70233,                0.53485,                 1.2963,                 1.4146,                 1.6345,              0.0002575,              0.0002575,              0.0002575
                     47,                0.98427,                 1.1052,                 1.3592,                0.70237,                0.67547,                0.70235,                0.53612,                 1.2873,                 1.3763,                 1.6338,               0.000241,               0.000241,               0.000241
                     48,                0.97876,                 1.0771,                 1.3594,                0.72996,                0.67041,                0.70763,                0.54008,                 1.2931,                 1.3925,                 1.6345,              0.0002245,              0.0002245,              0.0002245
                     49,                0.97283,                 1.0808,                 1.3547,                0.69575,                0.69653,                0.70983,                0.53957,                 1.3018,                 1.3757,                  1.644,               0.000208,               0.000208,               0.000208
                     50,                0.97406,                 1.0738,                 1.3499,                0.73758,                0.66836,                 0.7099,                0.54528,                 1.2994,                 1.3778,                 1.6348,              0.0001915,              0.0001915,              0.0001915
                     51,                 1.0034,                 1.0319,                 1.3692,                0.72908,                0.67126,                 0.7078,                0.53995,                 1.2982,                 1.3945,                 1.6457,               0.000175,               0.000175,               0.000175
                     52,                 0.9659,                0.97603,                 1.3411,                 0.7265,                0.67421,                0.70565,                0.53688,                 1.3015,                 1.3798,                 1.6457,              0.0001585,              0.0001585,              0.0001585
                     53,                0.95341,                 0.9331,                 1.3266,                0.72785,                0.68195,                0.71432,                0.54645,                 1.2896,                   1.35,                 1.6356,               0.000142,               0.000142,               0.000142
                     54,                0.93584,                0.91137,                  1.307,                0.69769,                0.70405,                0.71177,                 0.5465,                 1.2901,                 1.3589,                 1.6411,              0.0001255,              0.0001255,              0.0001255
                     55,                0.94037,                0.89585,                 1.3141,                0.69881,                0.70663,                0.71502,                0.54562,                 1.3015,                  1.342,                  1.651,               0.000109,               0.000109,               0.000109
                     56,                0.92521,                0.88203,                  1.295,                0.74059,                0.67908,                0.71213,                0.54572,                 1.2938,                 1.3567,                 1.6578,               9.25e-05,               9.25e-05,               9.25e-05
                     57,                0.91122,                0.84616,                 1.2848,                0.69978,                0.69299,                0.71374,                0.54923,                 1.2922,                 1.3497,                 1.6481,                7.6e-05,                7.6e-05,                7.6e-05
                     58,                 0.8979,                0.84763,                 1.2828,                0.72368,                0.69803,                0.71738,                0.55079,                 1.3002,                 1.3546,                  1.647,               5.95e-05,               5.95e-05,               5.95e-05
                     59,                 0.8995,                0.83073,                 1.2763,                0.71243,                0.70255,                0.71728,                0.55219,                 1.2868,                 1.3303,                 1.6413,                4.3e-05,                4.3e-05,                4.3e-05
                     60,                0.88427,                0.81533,                 1.2651,                0.76333,                 0.6627,                 0.7173,                0.55112,                 1.2922,                 1.3446,                  1.646,               2.65e-05,               2.65e-05,               2.65e-05
